"ID","KM1","KM2","KM3","QC1","QC2","QC3","CT1","CT2","CT3","PC1","PC2","PC3","QD"
"1",5,5,5,5,2,1,1,3,1,4,1,3,4
"2",3,3,3,4,5,3,4,5,4,2,2,2,4
"3",2,2,2,2,2,1,3,3,3,4,3,5,2
"4",4,3,3,4,3,4,4,4,4,1,1,3,3
"5",4,4,4,2,3,4,4,4,4,3,3,5,4
"6",1,1,1,2,5,3,5,5,5,4,3,5,3
"7",2,4,4,2,4,2,4,4,4,3,1,4,4
"8",2,3,3,4,3,3,4,4,4,3,4,3,3
"9",4,5,5,4,2,5,5,4,5,4,4,5,4
"10",2,2,2,2,2,2,2,4,2,5,3,5,2
"11",2,1,2,4,4,4,5,4,4,4,2,4,3
"12",4,4,4,1,3,5,3,3,3,3,3,5,4
"13",5,5,5,2,2,3,4,4,3,5,4,5,4
"14",5,4,5,5,3,3,3,3,4,5,5,5,4
"15",4,3,4,5,5,4,3,5,3,2,2,2,5
"16",3,3,4,4,3,3,1,4,3,3,3,3,4
"17",3,5,3,4,3,2,3,4,3,3,1,4,3
"18",3,4,2,2,4,4,4,4,2,4,1,4,3
"19",3,4,3,5,3,3,4,4,3,4,3,3,3
"20",3,3,3,2,4,3,3,3,5,2,3,4,4
"21",2,1,1,2,1,1,4,3,4,4,3,4,1
"22",2,3,3,2,2,2,3,2,3,4,3,4,4
"23",4,4,4,2,2,2,5,4,4,4,4,4,3
"24",4,3,4,5,5,4,3,5,3,2,2,2,5
"25",1,1,1,1,1,1,1,1,1,3,1,3,1
"26",5,5,5,5,5,5,5,5,5,5,5,5,5
"27",5,5,5,5,4,4,5,4,5,3,3,4,5
"28",4,4,4,5,4,5,5,4,5,4,4,4,4
"29",5,5,5,5,5,5,5,5,5,3,4,3,5
"30",2,1,1,1,1,3,5,5,3,3,3,3,1
"31",3,4,2,2,2,2,4,3,4,3,2,3,2
"32",2,3,2,1,3,3,5,4,3,4,3,5,3
"33",1,1,1,1,1,2,4,4,5,1,1,3,1
"34",4,4,3,4,4,1,4,4,4,3,2,2,4
"35",5,5,5,5,5,1,3,5,5,5,5,5,5
"36",1,1,1,4,2,3,2,4,4,3,3,3,2
"37",3,3,3,1,3,3,3,3,3,1,1,1,3
"38",3,5,5,5,5,5,4,5,5,5,5,5,5
"39",3,3,3,4,3,3,3,3,3,3,3,3,3
"40",3,3,3,2,3,2,3,3,1,2,1,1,3
"41",4,4,2,5,4,5,3,4,2,3,2,5,3
"42",1,1,2,5,2,1,5,4,4,4,4,4,3
"43",3,3,3,4,3,3,3,5,3,5,5,5,3
"44",4,3,4,5,2,3,3,4,2,4,3,4,3
"45",5,4,5,1,1,3,5,1,2,5,4,5,3
"46",4,4,5,2,3,3,5,5,1,5,1,3,4
"47",4,3,3,4,3,4,3,4,3,5,3,3,3
"48",1,1,3,4,3,3,3,3,3,2,3,3,3
"49",1,1,1,1,1,5,5,5,5,3,1,5,2
"50",1,1,1,1,3,2,3,3,3,3,3,4,2
"51",3,3,3,4,3,3,3,1,3,3,3,1,3
"52",3,3,3,2,3,2,5,4,3,4,3,4,3
"53",5,5,5,4,1,1,4,1,1,5,3,2,3
"54",3,3,3,4,3,3,3,3,3,3,3,3,3
"55",3,3,3,4,3,3,5,5,5,2,2,3,3
"56",3,3,3,5,4,4,4,4,4,4,4,4,4
"57",1,1,1,2,3,5,3,3,3,3,3,5,2
"58",1,1,1,1,1,1,1,1,1,2,1,1,1
"59",2,2,4,4,3,3,4,4,4,4,5,4,4
"60",5,5,5,5,2,3,4,4,2,5,5,5,4
"61",3,3,3,4,3,3,3,4,5,4,4,4,3
"62",1,3,3,4,3,2,3,3,3,1,2,1,3
"63",4,4,4,5,3,4,4,5,4,5,4,4,4
"64",2,2,2,2,2,2,2,2,2,3,3,2,2
"65",5,5,5,4,4,3,5,4,3,3,3,5,5
"66",3,5,2,4,4,4,4,3,2,3,4,2,3
"67",3,5,2,4,4,4,4,3,2,3,4,2,3
"68",5,5,5,5,5,5,5,5,5,5,5,5,5
"69",1,1,1,5,4,3,1,2,1,2,3,3,3
"70",4,4,4,4,4,4,4,4,4,3,4,3,4
"71",1,1,1,4,3,1,4,3,1,4,3,5,2
"72",5,5,5,5,5,5,5,5,5,3,3,3,4
"73",3,1,4,5,3,4,5,5,5,4,5,5,4
"74",3,5,5,5,3,4,5,5,5,5,4,5,4
"75",3,2,3,2,3,2,4,3,3,3,2,3,3
"76",1,2,3,5,1,2,1,3,3,5,5,5,2
"77",2,2,2,4,3,3,4,3,3,3,1,2,3
"78",3,1,1,4,1,1,5,5,5,2,1,2,1
"79",3,4,3,4,3,3,3,3,4,3,3,3,3
"80",4,5,4,4,1,1,4,5,3,3,1,4,3
"81",4,4,4,5,5,5,5,5,5,3,2,5,5
"82",4,4,4,5,4,4,4,4,4,5,4,4,3
"83",4,4,4,5,4,4,4,4,4,5,4,4,5
"84",1,1,1,4,2,3,5,5,3,5,5,5,2
"85",4,4,4,5,4,4,4,4,4,5,4,4,4
"86",3,4,4,5,4,4,4,5,4,3,4,5,4
"87",2,2,2,2,2,2,2,3,1,5,1,3,2
"88",3,3,3,4,3,3,3,3,3,3,3,3,3
"89",3,1,1,1,3,4,3,3,3,3,3,3,2
"90",3,3,3,4,3,3,3,3,3,3,3,3,3
"91",1,1,2,2,3,4,3,4,4,4,3,5,3
"92",5,5,5,5,5,5,5,5,5,5,5,5,5
"93",1,1,2,2,1,2,1,1,1,2,1,1,2
"94",5,5,5,5,5,5,5,5,5,5,5,5,5
"95",3,5,5,4,5,5,5,5,5,4,5,5,5
"96",3,2,3,5,3,3,3,4,3,3,3,4,3
"97",2,2,3,1,2,3,4,4,4,4,3,5,3
"98",3,3,3,4,5,5,3,4,2,4,3,4,4
"99",4,4,4,5,4,4,4,4,2,5,5,5,4
"100",3,4,4,4,3,4,3,4,3,2,1,4,4
"101",2,4,2,4,2,5,5,3,3,3,3,1,2
"102",2,3,4,4,4,4,3,4,3,3,3,3,4
"103",1,1,1,5,5,5,5,5,5,1,1,1,3
"104",5,5,5,1,5,1,5,5,5,1,5,5,5
"105",5,5,5,4,4,4,4,3,3,4,3,3,5
"106",3,4,4,4,4,3,4,3,4,4,3,4,4
"107",5,3,5,5,5,4,3,4,4,5,4,4,5
"108",2,3,2,2,4,3,4,4,4,3,3,3,3
"109",1,3,2,2,3,3,5,3,3,1,1,1,3
"110",3,5,4,5,4,5,5,5,5,5,5,5,4
"111",4,4,5,5,3,1,3,2,4,3,3,4,4
"112",5,1,3,5,5,5,5,5,3,3,3,5,4
"113",5,5,5,5,5,5,1,5,1,3,3,2,5
"114",5,5,5,5,3,1,4,4,5,4,1,5,4
"115",4,4,4,1,2,2,3,4,1,3,1,5,3
"116",5,5,5,5,5,5,5,5,5,1,1,1,5
"117",3,3,3,4,3,3,3,3,3,5,5,5,3
"118",2,1,1,4,4,4,4,2,1,4,4,4,3
"119",5,3,4,1,4,1,5,1,1,5,1,4,4
"120",5,2,1,1,5,3,3,5,2,5,4,3,3
"121",5,5,5,1,1,5,5,5,3,3,3,5,3
"122",2,2,2,4,4,4,4,4,4,4,5,5,3
"123",4,4,4,5,5,5,5,5,5,4,5,5,5
"124",4,4,4,4,4,3,4,4,4,4,5,5,4
"125",3,5,4,4,3,3,3,4,4,4,5,5,4
"126",3,3,3,4,3,4,4,3,3,3,3,3,3
"127",3,3,3,4,3,3,3,3,3,5,5,5,3
"128",3,3,3,4,3,3,3,4,4,4,4,4,3
"129",3,3,3,4,3,3,3,3,3,5,5,5,3
"130",3,3,4,4,3,3,3,3,3,5,5,5,4
"131",4,3,3,4,3,3,3,4,3,5,5,5,3
"132",3,3,3,4,3,3,3,3,3,4,4,4,3
"133",3,3,3,4,3,3,3,3,3,4,4,4,3
"134",3,3,3,4,3,3,3,3,3,3,3,3,3
"135",4,2,2,4,3,3,4,3,2,4,2,4,3
"136",1,1,1,1,1,1,1,1,1,1,1,1,1
"137",3,3,3,4,3,3,3,4,4,4,4,5,3
"138",3,3,3,4,3,3,3,3,3,3,3,3,3
"139",3,3,3,4,3,3,3,3,3,4,3,5,3
"140",3,3,3,4,3,3,3,3,3,4,4,4,3
"141",3,3,3,4,3,3,3,3,3,4,4,5,3
"142",4,3,4,5,3,2,3,3,3,4,4,4,4
"143",1,1,1,1,1,1,1,1,1,1,1,5,1
"144",4,4,4,4,4,4,3,3,3,4,3,4,4
"145",3,3,4,4,4,2,4,3,4,5,5,5,4
"146",4,3,3,2,2,2,1,3,2,4,4,5,3
"147",4,5,4,5,5,5,5,5,5,4,4,5,5
"148",3,3,3,4,3,3,3,3,3,3,3,3,3
"149",4,4,5,4,3,5,3,4,3,4,3,4,4
"150",5,5,5,5,5,5,5,4,4,3,3,3,5
"151",1,1,1,2,3,2,5,5,5,1,1,1,2
"152",5,5,5,5,5,5,5,5,5,2,1,3,5
"153",4,4,5,4,4,3,5,5,3,1,1,3,5
"154",3,3,3,4,5,5,5,3,3,3,1,3,4
"155",3,3,3,5,4,4,4,5,3,3,1,3,4
"156",3,3,3,4,3,3,3,3,3,4,4,4,3
"157",3,4,3,4,3,3,3,3,2,3,3,2,3
"158",5,5,5,5,5,5,5,5,5,5,5,5,5
"159",2,2,2,2,2,3,2,3,2,3,3,3,2
"160",4,4,4,5,4,4,4,3,3,4,4,4,4
"161",5,5,5,5,5,1,3,4,3,3,3,4,5
"162",4,2,4,5,5,5,5,5,4,3,3,4,5
"163",3,4,4,2,2,2,4,4,4,3,2,4,3
"164",5,5,5,5,5,5,5,5,5,2,2,1,5
"165",2,4,4,2,4,4,3,3,3,4,4,5,4
"166",4,4,4,5,4,3,3,3,4,3,3,3,4
"167",3,3,3,5,3,4,3,3,3,5,5,5,3
"168",3,2,4,4,4,4,4,5,3,3,3,4,4
"169",4,1,1,5,4,5,3,3,3,3,3,4,3
"170",1,1,1,4,3,3,3,3,3,1,1,5,2
"171",5,5,5,5,5,4,3,5,4,3,1,3,5
"172",3,4,4,4,3,3,3,3,3,1,2,3,4
"173",3,3,3,4,3,3,3,3,3,3,3,3,3
"174",4,4,4,4,3,3,3,2,2,3,2,2,4
"175",3,3,3,5,4,3,3,3,3,2,2,2,4
"176",3,5,3,4,3,4,3,3,3,2,3,2,3
"177",2,2,2,1,2,2,5,4,5,2,1,2,2
"178",2,2,3,4,4,4,3,3,3,4,4,3,4
"179",3,5,4,4,3,3,4,3,3,5,5,4,4
"180",3,4,2,5,2,2,4,3,3,2,3,4,2
"181",4,4,4,5,4,5,5,4,5,4,3,4,4
"182",1,1,2,5,3,3,4,5,3,1,3,5,3
"183",4,5,3,5,4,3,3,3,3,3,3,4,4
"184",5,5,5,5,4,4,4,4,3,5,3,3,5
"185",3,3,3,2,3,2,3,4,3,1,2,2,3
"186",2,2,2,2,2,2,2,2,2,2,1,1,2
"187",4,5,4,5,4,3,4,4,5,4,5,4,4
"188",5,5,5,2,4,3,5,5,4,2,1,1,5
"189",5,5,5,5,5,5,5,5,5,5,5,5,5
"190",3,5,4,4,3,3,5,5,4,3,3,5,4
"191",1,2,3,5,4,5,5,5,5,5,5,5,4
"192",5,5,4,5,4,5,5,5,5,4,1,4,4
"193",5,5,5,5,5,5,5,5,5,3,3,3,5
"194",3,3,3,2,3,2,2,2,3,3,2,3,3
"195",1,2,1,2,2,1,1,2,1,1,2,1,2
"196",3,3,3,4,3,3,3,3,3,5,5,5,3
"197",5,5,5,5,5,5,5,5,5,5,5,5,5
"198",3,3,3,5,4,4,5,5,3,3,3,3,4
"199",3,3,3,4,3,2,3,3,1,2,2,1,3
"200",1,5,5,1,5,1,5,5,5,1,1,5,5
"201",1,5,1,1,5,5,5,5,5,1,2,5,3
"202",4,5,5,5,4,4,3,4,2,4,3,4,5
"203",5,4,4,5,4,4,4,4,4,4,4,4,4
"204",5,5,5,5,5,5,5,5,5,5,5,5,5
"205",4,3,4,4,2,2,1,4,1,4,4,4,3
"206",4,4,3,5,3,2,2,2,3,3,5,5,3
"207",5,5,5,5,5,5,5,5,5,3,5,5,5
"208",3,3,3,4,3,3,3,3,3,3,3,3,3
"209",4,4,3,5,4,4,1,1,4,3,4,5,4
"210",5,5,5,5,3,2,2,5,5,1,1,1,4
"211",2,1,1,2,1,1,3,3,1,1,1,5,1
"212",5,5,5,5,5,5,5,5,5,5,5,5,5
"213",5,5,5,4,3,3,3,3,3,5,3,5,4
"214",2,3,2,5,4,4,4,4,4,1,2,3,3
"215",3,3,3,4,4,4,3,2,2,4,3,4,4
"216",1,1,1,1,1,1,5,4,1,4,4,4,1
"217",4,3,4,4,4,4,4,3,4,3,4,4,4
"218",4,4,5,5,4,4,3,4,4,4,4,4,5
"219",5,5,5,4,3,3,3,4,3,3,3,3,4
"220",5,5,5,4,3,3,3,5,3,3,3,5,4
"221",3,3,3,4,3,3,3,3,3,3,2,2,3
"222",5,5,5,5,5,5,5,5,5,5,5,5,5
"223",5,5,5,5,5,5,5,5,5,5,5,5,5
"224",5,5,5,2,5,5,5,5,5,4,5,5,5
"225",2,3,4,5,3,2,4,3,2,3,2,3,4
"226",3,1,1,1,2,2,3,3,4,2,3,4,2
"227",5,5,5,5,3,4,3,3,3,5,5,5,4
"228",3,3,3,2,2,2,2,2,2,3,2,4,3
"229",3,5,5,5,4,5,4,4,5,4,4,5,5
"230",4,3,5,4,2,2,4,4,2,3,3,4,4
"231",5,5,5,5,5,5,5,5,5,5,5,5,5
"232",3,3,3,5,5,5,4,3,3,3,1,4,4
"233",3,4,4,5,5,5,5,5,5,5,5,5,5
"234",1,1,1,4,3,3,4,4,2,1,1,3,2
"235",5,5,5,5,5,5,5,5,5,1,1,5,5
"236",5,5,5,4,5,4,5,4,4,4,4,5,5
"237",3,1,1,4,5,4,4,4,4,5,5,5,3
"238",5,2,4,4,4,4,3,5,5,5,4,4,4
"239",5,5,5,5,5,5,5,5,5,5,5,5,5
"240",5,5,5,1,1,1,5,5,5,4,5,5,3
"241",5,5,5,5,5,5,5,5,5,5,5,3,5
"242",5,3,5,2,1,3,5,5,1,3,4,2,3
"243",2,2,2,5,4,4,2,2,1,4,1,1,3
"244",3,3,3,4,5,3,5,5,2,4,3,5,4
"245",2,2,3,2,3,4,4,2,1,3,2,1,3
"246",4,4,4,5,4,4,4,4,4,2,2,2,4
"247",3,4,4,5,4,4,5,4,1,4,5,3,4
"248",3,1,2,4,3,4,1,1,1,3,1,4,3
"249",1,1,1,4,3,3,3,3,3,3,2,4,2
"250",4,4,3,4,3,4,4,4,4,5,4,4,3
"251",5,5,5,5,5,5,5,5,5,5,5,5,5
"252",3,3,3,4,3,3,3,3,3,4,3,5,3
"253",5,5,5,5,5,5,3,3,3,3,3,3,5
"254",5,5,5,5,5,5,5,5,5,2,2,1,5
"255",1,1,2,1,5,5,3,3,4,4,3,3,4
"256",5,5,4,5,5,3,5,2,2,2,1,1,5
"257",5,5,5,4,4,4,3,4,3,3,3,1,5
"258",3,3,4,4,1,1,3,3,2,5,1,5,3
"259",3,2,4,4,4,4,4,5,3,3,3,4,4
